word,Hint 1,Hint 2,Hint 3,Category
Apple,I am red,I am round,An _____ a day keeps the doctor away,food
dorime,ameno,I'm a dog with a funny face,Ok it's literally the praying dog meme you better know the name,Memes
Sushi,I contain raw fish,You eat me using chopsticks or hands,I am famously Japanese,food
Potato,I am a filler,The Irish love me,Baked ____,food
mushroom,I grow anywhere,Sometimes you want me sometimes you don't,Shiitake,food
Steak,People like me at a lot of different temperatures,There's a special knife for me,I can be eaten even when I'm bleeding,food
Pineapple,I'm always yellow,Too much of me might hurt your mouth,My shell is spiky and inedible,food
Ramen,I'm like soup but I'm more than just broth,I'm usually eaten with chopsticks and a spoon,I have fancy noodles,food
Hamburger,An American food classic,I almost always have two buns,French Fries are my best friend ,food
Burrito,There are a lot of different foods inside me,Chips and salsa are a good side dish for me,I'm wrapped in a big tortilla,food
submarine,I'm usually very deep underwater,People use me to travel ,"I'm a boat, not a ship",Ocean
tsunami,I'm dangerous,I create really large waves ,People mistake me for a tidal wave,Ocean
torpedo,I cause explosions,I move quickly underwater,I've been used to sink large ships,Ocean
